Entity_VI,Entity_EN
thao tuy thô,The sport is rough
đồ uống thì,drinks then
thân,close
tập sách,booklet
loại rau thơm,aromatic herbs
chuyến thăm trang trại,farm visit
đại lý du lịch judy,judy travel agent
cây xanh,green trees
rau mùi xà,coriander soap
đống bao,pile of bags
cà phê chà,scrub coffee
sun wheel,sun wheel
ốc vít,screws
- nước hạnh,- almond water
quần thể hang sửng,shocking cave complex
rau trái cây,vegetables and fruits
bahn mi,train mi
du lịch vịnh,Bay tourism
ngôi nhà ma,Haunted house
trà rượu,wine tea
váy vải,fabric dress
đồ ăn hướng dẫn viên,tour guide food
con cá,fish
cho bữa sáng,for breakfast
súp cua,crab soup
trầm hương,agarwood
nổi ăn,eat well
trái cây nhiệt,Thermal fruit
chai nước lạnh,cold water bottle
cây tre,bamboo
biển bầu trời,sky sea
vòng chơi,round of play
đồ uống giải,Relaxation drinks
lớp thể dục nhịp điệu năng lượng,energy aerobics class
phòng sạch,clean room
túi lạnh,cold bag
mùi hương,fragrant
kéo nước,water pull
pháp mát-xa tồi,bad massage
tâm hữu,mind
buổi học nấu ăn,cooking lesson
triển lãm harry potter,harry potter exhibition
chùa linh ứng sơn trà,Linh Ung Pagoda Son Tra
bánh căn,banh can
trung tâm spa,spa center
vận chuyển sân bay,airport transportation
hương -,smell -
hanoi spa,hanoi spa
gió biển,Seabreeze
dốc vũ,slope dance
chương,chapter
nhân viên đồ ăn,food staff
mát-xa lưng và vai,back and shoulder massage
nóc nhà,roof
môn khúc côn cầu,hockey
phong thủy,Feng Shui
khách sạn gia viễn,Gia Vien Hotel
dịch vụ chà chân,foot scrub service
nhà giao,delivery house
dịch vụ chăm sóc móng chân,pedicure services
môn thể thao dưới nước,water sports
bãi cát,sand
phương pháp mát-xa chân bằng dầu,Foot massage method with oil
lớp sơn,paint layer
thơm trong,fragrant
anh hùng dân tộc,National hero
khăn lạnh,cold towel
dịch vụ mát-xa rất,Very good massage service
trình tour,tour program
nhân viên nhà bếp,kitchen staff
xói mòn,erode
trà đá,iced tea
chuyến đi hưởng tuần trăng,moon trip
buổi biểu diễn múa rối nước,water puppet show
nền giáo dục,education
mì salad,a salad
rùa phật,Buddha turtle
hộp đêm,nightclub
khách sạn nhà hàng,hotel and restaurant
nhà trị liệu mát-xa bị khiếm,Impaired massage therapist
tòa thị chính thành phố,city ​​hall
biển cả,Ocean
lotte mart,Lotte March
khuôn viên tượng,statue campus
chuyến đi dạo ẩm thực,culinary walk
và nước trái cây,and fruit juice
phẩm giá,dignity
công viên - giá,park - price
lớp yoga,yoga class
điểm trả,pay point
đó là,that is
nhà phê bình hành trình,cruise reviewer
phòng lạnh,air conditioning room
vị thần hindu,hindu god
quãng đi,distance
rất đáng,very worth it
lớp học nấu ăn cá,fish cooking class
ứng dụng định vị,navigation application
hành trình du lịch,travel itinerary
tầng thuyền,boat floor
chủ nghĩa trừu tượng,abstractionism
mà không,without
chuyến tham quan sông mê,Mekong river tour
du lịch đông,winter travel
nhà thờ thánh,holy church
phòng trung tâm,central room
món ăn chay,vegetarian food
dàn diễn viên,cast
cocktail giờ,cocktail hour
văn hóa ẩm thực lẫn lối sống,culinary culture and lifestyle
con rùa,turtle
vỏ bom,bombshell
đồ ăn đường phố,street food
bánh nướng,pies
công viên cảnh quan,landscape park
phúc kiến,Fujian
rùa mai,shell turtle
dịch vụ mát-xa và,massage services and
cột cờ,flag pole
thợ may kích,Tailor
bệnh viện,hospital
người dân địa phương câu cá,Local people fishing
tour đưa,tour take
thức ăn địa phương,local food
nữ,female
điểm ăn trưa,lunch spot
chuyến tham quan di sản,heritage tour
khu vực hà,Ha area
sáng vẫn hơi,morning is still a bit
bơ trứng,egg butter
cho bữa tối,for dinner
trị liệu mát xa,massage therapy
mũi spa,spa nose
sảnh chính trần,bare main hall
dịch vụ chuyển khoản,transfer service
đồng lúa làng chài,fishing village rice fields
dị ứng,allergy
thuyền thuyền,boat boat
động,dynamic
hướng dẫn viên chou,tour guide chou
chùa an,An temple
ngôi chùa khmer,Khmer temple
của cô,hers
chèo thuyền kayak hang động,cave kayaking
hạt điều,cashew
khu đô thị,urban area
dịch thuật,translation
công sở,office
lều,tent
vũ công,dancer
đồ ăn thức uống,food and drink
phòng trực,Booking
boong tắm,shower deck
cà chua trái cây,fruit tomatoes
mát-xa thật tuyệt vời,the massage was amazing
chi tiết trình bày,presentation details
thịt,meat
buổi học,lesson
quán bar ven biển,beach bar
du thuyền hoàng gia,royal yacht
ông già da trắng,old white man
chuyến đi ăn uống,dining trip
nơi khảm,mosaic place
máy - những,machine - these
trái cây sấy,Drying fruits
xe điện,tram
áo ba lỗ,three holes shirt
bức tượng đó,that statue
sân vườn,garden
hội an an,Hoi An An
rượu chuối,banana wine
núi cao,high mountain
trường giảng dạy,teaching school
chỗ spa,spa place
than,than
sả cá,fish lemongrass
trái tim nhân,human heart
trò chơi điện,electric game
đều tuyệt,all great
tập yoga chăn,blanket yoga
đường hầm củ,tuber tunnel
đương,Duong
món phở bò,beef pho
chuyên nghiệp và giàu kinh,Professional and experienced
suv mazda,the water is boiling
trò chơi kéo co,Game tug
cổng chùa,temple gate
đồ ăn địa,local food
địa đạo vịnh,Bay Tunnels
bánh kem sữa trứng,Custard cream cake
hố bóng,ball pit
lịch sử thuộc địa,colonial history
trình,submit
sản phẩm địa,local products
quảng trường hồ chí,Ho Chi Minh Square
vườn cây ăn quả,fruit garden
cà phê việt nam,Vietnamese coffee
boong,idiot
mặt biển,sea ​​surface
massage chân họ,massage their feet
cà phê chuyến thăm,Coffee visit
tour ẩm thực đường phố,street food tour
phiên điều trị,treatment session
buổi mát-xa mặc,massage session wearing
xe số,digital car
phòng bẩn,dirty room
trình độ thể lực lĩnh vực,field physical level
cái bẫy du lịch,tourist trap
mục nhập,entry
quý ẩn,hidden gem
giờ học,class
chăm sóc da mặt,facial care
khí hậu nhiệt đới,tropical
ghế xe,car seat
không khí tiệc,party atmosphere
thời gian,time
cho riêng,for private
nhân viên quản lý,management staff
kiến ​​trúc trung,ants - - central architecture
lạc bộ đêm opera,opera night club
khu vườn thực vật,botanical garden
hội quán tỉnh,Provincial Assembly Hall
bánh sandwich thịt xông,bacon sandwich
đối tác khách sạn,hotel partner
chương trình biểu diễn,the show
câu cá,go fishing
gia súc,cattle
trải nghiệm may,sewing experience
liệu pháp mát-xa tôi quay,massage therapy i filmed
sơ mi tay,sleeveless shirt
mì gạo,rice noodles
thánh địa mỹ,America&#39;s holy land
dịch vụ làm móng,nail service
sen,sen
dịch vụ cá,fish service
chào john,hi john
lịch được tổ,Schedule is organized
ca hát,singing
phương pháp nấu,cooking method
cầu thê,pray for you
ngâm chân,declaim food
chuyến du lịch adventure đông dương,Indochina adventure tour
đến massage,come for massage
nhà hát opera,Opera House
tour trekking pù luông,Pu Luong trekking tour
chú cang,Uncle Cang
phòng vip,VIP room
ngôi nhà điều trị,treatment house
dịch vụ mát-xa tốt nhất,Best massage service
mìnhtrung tâm mua sắm,I&#39;m a shopping center
thịt heo -,pork -
không dưỡng ẩm,No moisturizer
bai tho,bye tho
bức tượng động vật,animal statue
buổi làm,work session
địa điểm ẩm thực đường phố,street food places
đồng,copper
spa vì,spa because
đi biển,Go on beach
nhà trị liệu mát-xa xuất sắc,Excellent massage therapist
pháp mát-xa là sự,Massage is the thing
khu đất,area
tour phương tiện,vehicle tour
thư,letters
cuộc sống lịch sử,historical life
bảo tàng điêu,Museum of Sculpture
loại yoga,type of yoga
bằng hương,with incense
vách đá,Cliff
du thuyền vàng,golden yacht
trà yoga,yoga tea
đài tưởng niệm chiến tranh,war memorial
kỹ năng massage,massage skills
trường -,school -
đường đào tấn,peach road
trải nghiệm lướt ván,windsurfing experience
món ăn ngon thắng cảnh,Delicious food and beautiful scenery
sông hồng,Hong river
trải nghiệm thử,try experience
bái,worship
lịch may,sewing calendar
trường dạy lướt ván,surfing school
và chăm,and care
tẩy,eraser
dịch vụ chuyên nghiệp,professional service
chuyển khoản internet,internet transfer
cảm giác,feeling
chợ nổi nhỏ,small floating market
người hoa phúc kiến,Fujian people
quả táo,apple
nhân viên mát xa đeo mặt nạ,masseuse wearing mask
rào thép,steel fence
đổ nước,pour water
xe go-cart,xe go-cart
chuyến thăm dinh,palace visit
chef tú,chef you
dịch vụ mát-xa bạn,massage service for you
xoài,mango
người chian,chian people
diễn viên kỹ thuật viên,technician actor
mức tầm,range level
bằng xe tay ga,by scooter
đồ ăn thật,real food
xe máy xe tải,motorbike truck
tài xế du lịch,tourist driver
ứng sân khấu,stage response
phòng khách sạn,hotel rooms
cảng,port
cây cối núi non,mountain trees
ngôi trường địa,local school
động như,move like
thợ rèn,blacksmith
tốt nhất,the best
nhỏ chương,small chapter
buổi tập,training session
hướng dẫn quốc,national guide
mặt nạ thảo dược,herbal mask
thảo dược massage,herbal massage
bảo tàng quân đội,Military museum
trường spa,spa school
văn hoá,culture
trị liệu mát-xa mà tôi,massage therapist that i
người sạch,clean person
tự chọn,elective
tour du lịch hồ,lake tour
làng cơtu,Cotu village
con vượn,Gibbon
môi,lip
cây cảnh,trees
tour trekking,tour trekking
sách hướng dẫn,Instruction book
dịch vụ mát-xa mà chúng,massage services that they
chuyến du lịch vịnh,bay tour
salon nằm,salon located
dịch vụ mát-xa cũng như,massage services as well
cố vấn,adviser
thợ may vest,suit tailor
bến phà,ferry terminal
trang trại cá sấu,crocodile farm
phương pháp mát-xa chân khác,Other foot massage methods
cầu sơn son,painted bridge
5 sao,5 sao
liệu pháp mát-xa đều thực,massage therapy is real
cá ngừ mè,sesame tuna
chuyến đi dạo phố,street trip
hướng dẫn viên du lịch nhân viên,Staff tour guide
bãi biển non nước,Non Nuoc beach
chuyến trekking,trekking trip
hướng dẫn viên cường,tour guide Cuong
thống thoát nước ngầm,underground drainage system
phòng gia đình,family&#39;s room
điểm cộng,plus mark
chương trình khuyến mãi du lịch vịnh,Bay tourism promotion program
lò nướng,griller
công viên lenin,lenin park
cầu lông,badminton
cửa hàng địa phương,local store
trình độ tiếng,language level
du ngoạn,excursion
và gà,and chicken
dịch vụ mát-xa qua,massage service over
hoàng gia,Royal
dân làng nại,villagers complained
độ ẩm,humidity
món ăn - đồ uống đường phố,street food - drinks
đài phao máy bay trực thăng,Helicopter buoy
chúa,God
thần cá,fish god
chuyến đi tùy,trip optional
cơ sở,basis
ván diều,kite board
dịch vụ mát-xa mô,tissue massage service
liệu pháp mát-xa khác của,Other massage therapy&#39;s
chợ ben,ben market
áo bà bầu,Gown
chiến trường lịch sử,historical battlefield
buổi bấm huyệt,acupressure session
vịnh lan,orchid bay
ong kẹo dừa,coconut candy bee
dịch vụ taxi,taxi service
vài ngày trước,few days ago
kỳ,period
hành trình stellar,stellar journey
nhân viên cứu hộ,Lifeguards
phong tục tập quán,customs and traditions
mui trần,convertibles
bãi biển trung hoa,chinese beach
đại nhào lộn nước,great water acrobatics
khu vui,fun area
đo độ,measure degrees
massage kiểu,style massage
kiến -,ants -
thần tượng,idol
cũng rất,also very
kinh doanh bún gạo,rice vermicelli business
du thuyền ăn,Dining cruise
túi nhựa,plastic bag
niềm an,peace
giấc ngủ đêm,night sleep
kiến trúc gothic,Gothic architecture
mát-xa rất khuyến khích,Highly recommended massage
pha chế,bartending
sản phẩm đánh,beaten product
kính thưa,Dear
chuyến bay nội,domestic flight
chuyến tham quan mê kông,Mekong tour
tiệm bánh,bakery
chuyến đi mê kông,Mekong trip
một số nơi khác thuyền,Some other places boats
cơ sở spa,spa facilities
công viên nước nơi,water park place
thiên đã,heaven already
aso coffee,aso coffee
mảnh đất,plot
bỏ họ,leave them
bỏ móng chân,remove toenails
miếng thịt treo,hanging meat
bức tường thép ép,pressed steel wall
phòng của,room of
giải cứu mô tô nước,rescue water motorbikes
trưng bày,display
bảo tàng lịch sử,History museum
muỗng kem,ice cream scoop
dũng ngọc,brave jade
điểm tham quan du,tourist attractions
công viên điêu,sculpture park
lái xe vespa,driving a vespa
phạm ngũ lão,Pham Ngu Lao
di sản văn hóa mỹ sơn,My Son cultural heritage
nhà ngoại giao,diplomat
công viên nước,water park
cho miếng,for pieces
thể,can
rối nước,water Puppet
cảm,have a cold
cho massage,cho massage
móng tay,nail
quy,regulation
đại bàng biển,sea ​​eagle
chuyến du lịch quốc,national tour
rạp xiếc di động,mobile circus
người đi bộ,Walker
tàu công chúa,princess ship
nơi nghỉ ngơi,resting place
nhân viên mát-xa thực sự,real masseuse
lịch trình du lịch,Travelling schedule
phòng vé,ticket room
bể sục,Jacuzzi
phòng xin,begging room
giá trị lịch sử,historical value
thuyền thuyền chèo,rowing boat
nhà trị liệu số,digital therapist
chuyên viên trị liệu,therapist
số điện,electricity number
mặt đất,ground
lĩnh vực du lịch,tourism sector
chất thải,waste
đảo cát,sand island
thuyền tre,bamboo boat
cho cá,for fish
trang thiết bị,equipment
lái xe máy,motorbike driving
mát-xa và dịch,massage and translation
kỳ nghỉ 3 đêm,3 night vacation
cảng tàu du lịch,cruise ship port
nhân viên bán hàng,sales agent
xe buýt khách sạn,hotel bus
lịch sử quân nhân,military history
dịch vụ bổ,complementary services
quán bar âm nhạc,music bar
lệ,rule
giá cả bình dân,affordable price
cá chiên,fish fry
dịch vụ sự sạch,cleanliness service
tập thái,practice attitude
hàng cọ,palm trees
hướng dẫn viên du lịch người dân tộc,ethnic tour guide
bữa trưa tôm hùm,lobster lunch
lửa nhảy múa,dancing fire
massage chân,foot massage
vì,because
làm mì người làm chiếu,"making noodles, people making mats"
mát-xa nên biết -,massage should know -
khán phòng,auditorium
phòng trưng bày nghệ thuật,exhibition room
lễ vật,Possesty
đặc sản xôi thịt lợn,Pork sticky rice specialties
long biên,Long Bien
thái đá,ice cubes
phà,ferry
máy điều hòa không khí,air conditioner
phòng sang,luxury room
thảo,beautiful
mì bò,beef noodles
nhà máy sản xuất đồ,furniture factory
dịch vụ giáng sinh,Christmas service
chuyến du lịch ngắm,sightseeing tour
chuyến thăm đảo phú,Phu island visit
thực đơn,menu
câu lạc bộ đêm opera,opera night club
xế bữa,afternoon meal
hướng dẫn viên tram,tram tour guide
vũng tàu động,the ship is moving
tập hatha,practice hatha
mát-xa toàn,full body massage
chiếc thuyền vòng,round boat
tòa nhà cao tầng,tall building
nhà máy sản xuất bún,vermicelli factory
vời,great
nhân viên mát-xa rất tốt,Very good masseuse
tượng bác hồ,Uncle Ho statue
họa sĩ,painter
dịch vụ phòng ốc,room service
khách sạn suite,suite hotel
trang trại trái cây,fruit farm
show diễn,show
mai châu,Mai Chau
kỳ quan thiên nhiên cuộc sống,natural wonders of life
phòng khám làm,the clinic does
cây cầu nhỏ,small bridge
cư dân phúc,happy residents
trung tâm bán diều,kite selling center
tiệm massage,massage parlor
xay,grind
điện biên,Dien Bien
loại đất,soil type
bức tranh về,picture about
món ăn vặt,snacks
hơn vì,than because
trang phục công sở váy áo,office attire dresses
bò,cow
thân thiện,friendly
massage hương thơm,aroma massage
xe mô tô,motorcycle
sĩ trị liệu,therapist
tâm thị trấn,town center
trình mát-xa tiến triển,The massage progresses
bộ áo liền,jumpsuit
không phản,no objection
chuyến du lịch đông dương,Indochina tour
cảnh viển,landscape
trải nghiệm du lịch mê,mesmerizing travel experience
chuyến đi chợ nổi,floating market trip
thần biển cả,sea ​​god
vấn du lịch,travel advice
kỹ thuật nấu ăn,cooking techniques
cây điều,cashew
tàu lượn siêu tốc,roller coaster
dây nịt,belt
địa điểm địa,local location
thủy triều,tide
bãi đậu xe máy,motorbike parking
người mát xa,the massage man
không sạch,not clean
trang web du lịch cruise,cruise travel website
dịch vụ chuyển nhượng,transfer service
sân chơi trẻ em,children&#39;s playground
dịch vụ đưa,delivery service
lãnh đạo cộng sản,communist leader
da rau,and injured
triết gia nho giáo,Confucian philosopher
dịch vụ khách sạn,hotel service
bức tượng cộng sản,communist statue
máy bay nội,domestic aircraft
ngôi đền phật giáo,Buddhist temple
bắp chân,calf
da mặt,face skin
bình,jar
đền ngọc,jade temple
đồng người hoa,Chinese people
lớp du lịch,travel class
múa thuyền,boat dance
bếp củi,wood stove
chanh dây gừng,Passion fruit and ginger
trạm trứng tráng,Omelette station
rìa đảo,edge of the island
mini golf,mini golf
báo khánh,opening newspaper
nơi nhân,place of cause
nhân sự,personnel
phòng thuyền,boat room
trực thăng hạ cánh,helicopter landing
trọn vẹn,entirety
massage bằng,massage by
nơi tham quan,places to visit
ẩn,hidden
hướng dẫn viên chỗ,tour guide
lịch riêng nói,separate schedule
lồng để,cage to
tâm trí,mind
dịch vụ mát-xa chân đáng,Decent foot massage service
bài chơi,playing cards
chuyến đi ăn,food trip
năng lượng,energy
đĩa nếm,tasting plate
áo sơ mi may,sewing shirts
cửa hàng nhà hàng,restaurant store
cả thờ,even worship
hải vân,customs vein
món ăn truyền,traditional dish
day spa,day spa
thịt -,meat -
con vật,animals
chả,rolls
cây cầu đỏ,red bridge
dịch vụ mát-xa trong khách,In-guest massage service
buổi mát-xa của tôi,My massage session
thanh kiếm,sword
liệu pháp mát-xa nhẹ,Light massage therapy
cầu long biên,Long Bien bridge
món ăn việt,Vietnamese food
người quản lý,manager
chai giá,price bottle
cặp đôi có,the couple has
tour đạp xe,cycling tour
massage mặt,face massage
- điều,- thing
chuyên gia mát-xa,massage specialist
chuyến lưu trú,stay
khách sạn vũ trụ,space hotel
liệu pháp mát-xa hoàn hảo,Perfect massage therapy
chuyến tham quan chợ,market tour
đài phun nước,fountain
lò,oven
giá đồ uống,drink prices
nhập cảnh,entry
đồng văn,Dong Van
quần thể hồ chí,lake complex
nhân viên mát xa tay nghề,skilled masseuse
trinh sát,Reconnaissance
chức năng hành chính,administrative function
chuyến tham quan khu phố,neighborhood tour
trình diễn múa nước,water dance performance
chuyến khứ hồi khi,round trip when
nhiệt độ nước,water temperature
âm thanh,sound
vì giáng sinh,because of Christmas
thợ làm tóc,hairdresser
cát vàng,Golden sand
xe tuk-tuk,xe tuk-tuk
mát-xa 90 phút nhưng,90 minute massage but
chuyến tham quan hang nước,water cave tour
chuyển xe buýt,transfer bus
đường mòn hồ,lake trail
bộ vest thanh lịch,elegant vest
ánh sáng nước âm thanh,water light sound
tác phẩm điêu khắc,Sculptures
lâu đài ma,ghost Castle
trải nghiệm đi xe,ride experience
thực sự rất tuyệt,really cool
massage sạch,clean massage
chai nước khoáng,mineral water bottle
chuyến đi xuyên,cross trip
quà tặng xa hoa,lavish gifts
thái,state
gạo,rice
bữa ăn ngon xe,delicious meal car
nha hang xu dừa,coconut coin shop
xe chở,truck
thống âm thanh,sound system
chương trình truyền,transmission program
chuyến phiêu lưu mô tô,motorcycle adventure
trang điểm,make up
súng cao su,slingshot
bãi biển mỹ,american beach
kênh nước,water channel
chứa dịch vụ,contains services
máy điều hòa hoạt động,air conditioner works
dịch vụ thủy trị liệu,hydrotherapy services
chùa thờ nữ thần biển,The temple worships the goddess of the sea
chuyến tham quan chợ nổi,floating market tour
đề thủy sinh,Aquatic topic
điểm ăn uống,dining spot
tour du lịch lưu trú,Accommodation tour
mát-xa chuyên nghiệp,Professional massage
tàu kéo,tugboat
chuyến thăm thành phố hồ chí,Ho Chi Minh City visit
lớp biểu bì,epidermis
trà kem,cream tea
dịch vụ mát-xa như,massage services such as
linh hồn,soul
làng chay trà,tea vegetarian village
- bia,- bia
khách sạn quán bar,hotel bar
nhân công,labor
chuyến tham quan vùng nông thôn,countryside tour
dịch vụ mát-xa chân 90 phút,90-minute foot massage
ốc đảo,Oasis
bộ đồ ôm,hug suit
chân -,foot -
đo quần áo,measure clothes
trực giác,intuition
bằng đá nóng,with hot stones
hướng ngoại,outward
người điều phối,coordinator
lịch sử cộng sản,communist history
mùi trầm hương,the smell of agarwood
tàu lượn siêu,rollercoaster
báo giá,Quote
buổi mát-xa ngẫu,Random massage session
nhân viên mát-xa mới bắt,new masseuse
nhà nồng,warm house
mì phở,noodles
món ăn hảo hạng,fine dining
phòng executive,executive room
túi ấm,warm bag
thùng rác,trash can
di tích mỹ sơn,My Son relics
sa tế,Satay
cà rồng,vampire
mì chay,vegetarian noodles
bộ dụng cụ,kits
vũ đạo,dance
bánh mì đậu phụ rau,vegetable tofu bread
máy bay phản lực,jet plane
đất nước họ,their country
bằng đá,made of stone
đội bóng đá cầu lông,badminton soccer team
thác suối,stream waterfall
phong vì,room because
tắm thủy trị liệu,hydrotherapy bath
chuyến du lịch truyền,transmission tour
xe đạp buổi,bike afternoon
thị trấn toe,toe town
sa mạc cát,sand desert
con sói,Wolves
văn hóa cà phê,coffee culture
bài nói chuyện,speech
mát-xa bằng đá,Stone massage
áo khoác thể thao thủ,sportsman jacket
orient spa,orient spa
giỏ,basket
da mặt cơ bản,basic facial skin
tấm bảng,board
váy nữ,dress
dịch vụ mát-xa giá rẻ,Cheap massage service
ri gà hoa,floral chicken curry
đạo giáo,doctrine
rừng rậm thác nước ngắm cảnh,jungle waterfall sightseeing
chuyến du lịch hát,singing tour
tảng đá nóng,hot rock
chuyến đi bằng xe hội an,Hoi An bus trip
phê trà,tea coffee
đồ ăn nhẹ,snacks
cầu thủ bóng đá,football player
mỹ khê,My Khe
hương,smell
bánh mì đậu phụ,tofu bread
chuyến đưa,trip
ngành công nghiệp,industry
và sau,and then
viên- xuất,capsule- export
dịch vụ mát-xa tại hà,massage service in Ha
phố xe lửa,train street
trấn an,reassure
rất hợp,very well
cơ sở vật chất vô nhiễm,immaculate facilities
dòng nhiệt,heat flow
chế độ,regime
quán ăn đường phố,street restaurant
thường và tập,regular and practice
đảo thới,Island time
mật,honey
biểu diễn động vật - chúng,animal performance - them
buổi thủy,early morning
khía cạnh kỹ,technical aspect
xe cộ,vehicle
núi thác nước,waterfall mountain
massage thể thao,sports massage
nấu phở bò gà xiên sả,Cook beef and chicken pho with lemongrass skewers
buffet nướng -,grilled buffet -
trà thảo mộc,herbal tea
buổi mát-xa phù hợp,Tailored massage session
chuyến đi cố,try trip
việt nam,Vietnam
cốc,glass
triều đại nhà nguyên,Yuan dynasty
toàn thân,Body
chết toàn,completely dead
dịch vụ mát-xa theo nhu,Massage service on demand
trại trẻ,youth camp
thử trái cây,try fruit
xu hướng thời trang,fashion trends
kỳ nghỉ lướt ván diều,kitesurfing vacation
bún bò huế,bun Bo Hue
trận chiến,war
cư dân phúc kiến,Fujian residents
vũ khí,weapon
dịch vụ mát-xa khi,massage service when
chèo ván,Paddleboarding
giường rộng,wide bed
lịch sử phong tục đời sống,history and customs of life
xổ số,Lottery
hướng dẫn viên su,tour guide su
buổi massage thảo dược,herbal massage session
kéo giãn,stretch
đồ uống buổi,Session drinks
lạc bộ cả đêm,Club all night
cốt truyện,plot
dịch vụ the,the service
bãi biển non,young beach
hội quán,clubs
sữa gạo,rice milk
phong phú,abundant
sửa chữa chúng,fix them
tô máy,motorbike
địa đạo long phước,Long Phuoc Tunnel
mát-xa chân tốt nhất,best foot massage
chiếc quần,pants
dẫn chương trình,MC
dược và mát-xa,medicine and massage
chùa hoàng,royal pagoda
đường sắt,rail
món hời,good deal
bối cảnh trận,Battle Background
vì hoa,because of flowers
tour xe tay ga,scooter tour
giá trị hương vị,taste value
ngũ quản lý,management team
bãi biển lăng cô,Lang Co beach
phòng mát-xa,massage room
vòng,ring
cho mui,for the hood
vest áo khoác,vest jacket
ánh sáng,light
dịch vụ chăm sóc chân,Foot care service
tour đạp xe hội,Association cycling tour
lần,time
chùa hương,Huong pagoda
địa điểm ăn uống đường phố,Street eating places
nhân viên câu lạc bộ,club staff
chợ thường lệ,regular market
sữa ong chúa,jelly
buổi mát xa thụy,massage session
xanh biển xanh,blue ocean blue
vết bẩn,dirty
nghề spa,spa profession
sở thú,Zoo
thùng giữ lạnh,cooler box
nhà phân phối,distributor
khoai tây chiên,French fries
hóp,group
xe giường,bed car
tác phẩm nghệ thuật làm móng,nail art work
bánh mì gà việt nam,Vietnamese chicken sandwich
mùi,odor
dịch vụ mát-xa tốt ở,good massage service in
mát-xa chân,foot massage
dấu ấn cá,fish imprint
chuyến đi tạm,temporary trip
dinh thự,mansion
vườn thú,Zoo
khu vườn điêu,sculpture garden
bữa trưa hải sản,seafood lunch
sen spa,its spa
cổ,neck
hàng ăn uống,food and drink
thiết bị thì,equipment then
thể dục,exercise
chuyến du lịch nước,water trip
đồng hới,Dong Hoi
tập thể xe đạp,bicycle group
xe đạp thư giãn,Relaxing bike
và chúng tôi,and we
hội trái cây nhiệt,Thermal fruit festival
hương vị chất lượng,quality taste
hạm đội,fleet
uống trước,drink first
hồ nước,Lake
trải nghiệm spa,spa experience
massage việt nam,Vietnamese massage
bức tượng vladimir,Vladimir statue
liệu pháp mát-xa thể thao điều mà,Sports massage therapy thing that
linh ứng,inspiration
biên nhận,receipt
phở bò chả giò,spring roll beef pho
làng chạm,village touches
đầu bếp tú,chef
thuyền sông,river boat
nồng nhiệt massage,Warm massage
dịch vụ mát-xa aroma,Aroma massage service
móng,nail
massage truyền thống,traditional massage
đài tưởng niệm trận chiến long tân,Long Tan battle memorial
chuyến bao,bag trip
mô sâu và,deep tissue and
giao thông địa,local traffic
hát karaoke,sing karaoke
đồ thì,stuff then
vòng quay mặt,face rotation
chút nước,some water
sân trong,courtyard
trang trại cà phê,coffee farm
ngôi đền thờ thiên hậu nữ thần biển,The temple worships the goddess of the sea
cửa hàng thời trang,fashion shops
dịch vụ mát xa,massage service
thờ,worship
dịch vụ tệ,bad service
màn trình diễn,Performance
dịch vụ chất,quality service
thuê thuyền chèo,Rent a rowing boat
thời trang đường phố,Street fashion
chuyến đi địa hình,off-road trip
phở bún my,Pho Bun My
kỳ nghỉ khách sạn,hotel vacation
đồ ăn thì sạch,food is clean
đô thị,urban
túi xách mũ,hat bags
du ngoạn vịnh,Bay cruise
ngôi nhà yoga,yoga house
thị trấn nông thôn,rural town
phòng thủ,defense
lịch sử tôn giáo,religious history
chai rượu vang,wine bottle
dụng dịch thuật,use translation
uống nước,drink water
hướng dẫn viên du lịch phương tiện di chuyển,Tour guide and transportation
rượu,alcohol
chương trình văn hóa,cultural program
tour du lịch ẩm thực đường,road food tour
hương vị địa phương,local flavor
thị trấn hà,ha town
chèo thuyền tắm vịnh,rowing a boat to bathe in the bay
đồng bằng sông cửu long cà,Mekong Delta
thuyền buồm,sailboat
tour tham quan,sightseeing tour
tòa nhà trang trí,decorative buildings
dịch vụ mát-xa này trong,This massage service is in
chuyến tham quan sông hồng,Red River tour
ghế đệm,sofa
căn,base
địa điểm tham,greedy location
dũng thật,Really brave
yên bình,peaceful
thực hành,practice
trải nghiệm vòng lặp,loop experience
bom,bom
hang động đảo,island cave
quy tắc lái xe,driving rules
bộ phận,part
chuyến tham quan ẩm thực vespa,vespa food tour
cà phê nhà hàng,restaurant coffee
võ sĩ,boxer
phẩm,Products
- cách,- way
mật ong chanh,lemon honey
thuyền xe tuk,tuk boat
cây cầu cong,curved bridge
cuộc sống nông,farm life
du thuyền athena,Athena yacht
nhân viên điều hành,operating staff
đồ- ngày,map- date
vẻ đẹp thiên nhiên,Natural beauty
diều bắc,northern kite
chi tiết trang trí,decorative details
vương quốc cá,fish kingdom
củ chi,tuber
công viên lê nin,Lenin Park
trung tâm hội an,Hoi An center
mì chuối,banana noodles
dẫn của,led by
lịch sử phật giáo,history of buddhism
phương pháp điều trị chân,foot treatments
nhân viên orient spa,Orient spa staff
hội trường xã hội,social hall
thiết kế nghệ thuật,artistic design
liệu pháp spa,Spa method
nghệ thuật chạm,touch art
kiến ​​trúc gothic,architecture - - gothic architecture
áo phao mũ,life jacket and hat
văn hóa làng chài,fishing village culture
động tác massage,massage movements
đĩa kem,ice cream plate
hương thơm,scent
luống sậy,reed beds
bữa ăn chuyến bay nội địa,domestic flight meals
giấc ngủ,sleep
trạng thái,status
- có,- Have
cánh hoa,petal
công ty lữ,travel agency
